,WindowId,Min,Max,Mean,Iqr,Std,Var,Pp,Rms,Cf,Mac,Energy
245,246.0,253.52631578947367,264.10526315789474,257.7456140350877,7.026315789473699,4.102947690089978,16.83417974761469,10.578947368421069,257.7782685450269,1.0245443289249292,1.8070175438596532,66449.63573407201
246,247.0,253.52631578947367,258.63157894736844,255.57017543859646,3.44736842105263,2.0777626352600094,4.317097568482619,5.105263157894768,255.57862131110159,1.0119452778194256,1.6403508771929864,65320.43167128347
247,248.0,253.52631578947367,263.94736842105266,257.780701754386,7.48684210526315,4.185607917013328,17.519313634964647,10.421052631578988,257.81468055682683,1.0237871941620256,1.7368421052631646,66468.40951061866
248,249.0,254.42105263157896,265.6842105263158,261.6491228070176,5.052631578947398,3.950252357807821,15.60449369036625,11.263157894736821,261.67894061114686,1.0153060460494632,1.8771929824561369,68475.86795937213
249,250.0,262.36842105263156,266.2105263157895,264.8508771929824,1.7894736842105203,1.3519305530889878,1.8277162203754964,3.8421052631579187,264.8543276333476,1.0051205456771668,0.6403508771929864,70147.81486611265
250,251.0,264.8421052631579,266.57894736842104,265.9736842105263,0.631578947368439,0.5835146796337637,0.34048938134809387,1.736842105263122,265.97432429071443,1.0022732385139768,0.28947368421052033,70742.34118190213
251,252.0,266.05263157894734,267.36842105263156,266.59649122807014,0.5394736842105203,0.4368385823855694,0.19082794706063388,1.3157894736842195,266.59684912441395,1.0028941524656112,0.21929824561403657,71073.87996306554
252,253.0,266.4736842105263,267.8421052631579,267.08771929824564,0.7105263157894797,0.4830140315065417,0.23330255463220245,1.3684210526316178,267.08815605056895,1.00282284779579,0.22807017543860297,71336.08310249307
253,254.0,266.89473684210526,268.0,267.5701754385965,0.5526315789473983,0.3955158006173967,0.1564327485380203,1.1052631578947398,267.57046775941075,1.0016053051152696,0.18421052631578996,71593.95521698985
254,255.0,267.36842105263156,268.10526315789474,267.89473684210526,0.21052631578942282,0.25241218543751875,0.06371191135734436,0.7368421052631788,267.8948557542907,1.0007854103917435,0.12280701754386314,71767.6537396122
255,256.0,267.94736842105266,268.42105263157896,268.14035087719304,0.19736842105260166,0.15983216805515832,0.02554632194521237,0.47368421052630083,268.1403985132903,1.001046668535755,0.07894736842105014,71899.27331486612
256,257.0,268.10526315789474,268.42105263157896,268.280701754386,0.26315789473682116,0.13475694294506466,0.01815943367189941,0.3157894736842195,268.28073559847616,1.0005230231413738,0.06140350877193631,71974.55309325947
257,258.0,268.2631578947368,268.42105263157896,268.359649122807,0.07894736842104066,0.05616775646871745,0.003154816866729151,0.15789473684213817,268.3596550007712,1.000228788603889,0.043859649122813,72016.90443213296
258,259.0,268.2105263157895,268.42105263157896,268.3157894736842,0.13157894736838216,0.08039606482378275,0.006463527239149879,0.21052631578947967,268.315801518311,1.0003922658027309,0.03508771929824661,71993.36934441367
259,260.0,268.2105263157895,268.42105263157896,268.3070175438597,0.118421052631561,0.07697337181922755,0.005924899969221053,0.21052631578947967,268.30702858512853,1.0004249759950445,0.06140350877192683,71988.66158818098
260,261.0,268.2105263157895,268.42105263157896,268.3333333333333,0.1842105263157805,0.0944765755637659,0.008925823330255968,0.21052631578947967,268.33334996530175,1.000326842214315,0.03508771929824661,72002.78670360112
